Date,USD,Bankruptcies
1978-12,226.0,
1979-01,233.7,
1979-02,251.3,
1979-03,240.1,
1979-04,245.3,
1979-05,274.6,
1979-06,277.5,
1979-07,296.45,
1979-08,315.1,
1979-09,397.25,
1979-10,382.0,
1979-11,415.65,
1979-12,512.0,
1980-01,653.0,3641.1666666666665
1980-02,637.0,3641.1666666666665
1980-03,494.5,3641.1666666666665
1980-04,518.0,3641.1666666666665
1980-05,535.5,3641.1666666666665
1980-06,653.5,3641.1666666666665
1980-07,614.25,3641.1666666666665
1980-08,631.25,3641.1666666666665
1980-09,666.75,3641.1666666666665
1980-10,629.0,3641.1666666666665
1980-11,619.75,3641.1666666666665
1980-12,589.75,3641.1666666666665
1981-01,506.5,4010.4166666666665
1981-02,489.0,4010.4166666666665
1981-03,513.75,4010.4166666666665
1981-04,482.75,4010.4166666666665
1981-05,479.25,4010.4166666666665
1981-06,426.0,4010.4166666666665
1981-07,406.0,4010.4166666666665
1981-08,425.0,4010.4166666666665
1981-09,428.75,4010.4166666666665
1981-10,427.0,4010.4166666666665
1981-11,414.5,4010.4166666666665
1981-12,397.5,4010.4166666666665
1982-01,387.0,5775.0
1982-02,362.6,5775.0
1982-03,320.0,5775.0
1982-04,361.25,5775.0
1982-05,325.25,5775.0
1982-06,317.5,5775.0
1982-07,342.9,5775.0
1982-08,411.5,5775.0
1982-09,397.0,5775.0
1982-10,423.25,5775.0
1982-11,436.0,5775.0
1982-12,456.9,5775.0
1983-01,499.5,5203.0
1983-02,408.5,5203.0
1983-03,414.75,5203.0
1983-04,429.25,5203.0
1983-05,437.5,5203.0
1983-06,416.0,5203.0
1983-07,422.0,5203.0
1983-08,414.25,5203.0
1983-09,405.0,5203.0
1983-10,382.0,5203.0
1983-11,405.0,5203.0
1983-12,382.4,5203.0
1984-01,373.75,5333.666666666667
1984-02,394.25,5333.666666666667
1984-03,388.5,5333.666666666667
1984-04,375.8,5333.666666666667
1984-05,384.25,5333.666666666667
1984-06,373.05,5333.666666666667
1984-07,342.35,5333.666666666667
1984-08,348.25,5333.666666666667
1984-09,343.75,5333.666666666667
1984-10,333.5,5333.666666666667
1984-11,329.0,5333.666666666667
1984-12,308.3,5333.666666666667
1985-01,306.65,5939.75
1985-02,287.75,5939.75
1985-03,329.25,5939.75
1985-04,321.35,5939.75
1985-05,314.0,5939.75
1985-06,317.75,5939.75
1985-07,327.5,5939.75
1985-08,333.25,5939.75
1985-09,325.75,5939.75
1985-10,325.1,5939.75
1985-11,325.3,5939.75
1985-12,326.8,5939.75
1986-01,350.5,6769.583333333333
1986-02,338.15,6769.583333333333
1986-03,344.0,6769.583333333333
1986-04,345.75,6769.583333333333
1986-05,343.2,6769.583333333333
1986-06,346.75,6769.583333333333
1986-07,357.5,6769.583333333333
1986-08,384.7,6769.583333333333
1986-09,423.2,6769.583333333333
1986-10,401.0,6769.583333333333
1986-11,389.5,6769.583333333333
1986-12,388.75,6769.583333333333
1987-01,400.5,6870.5
1987-02,405.85,6870.5
1987-03,421.0,6870.5
1987-04,453.25,6870.5
1987-05,451.0,6870.5
1987-06,447.3,6870.5
1987-07,462.5,6870.5
1987-08,453.4,6870.5
1987-09,459.5,6870.5
1987-10,468.8,6870.5
1987-11,492.5,6870.5
1987-12,484.1,6870.5
1988-01,458.0,5321.083333333333
1988-02,426.15,5321.083333333333
1988-03,456.95,5321.083333333333
1988-04,449.0,5321.083333333333
1988-05,455.5,5321.083333333333
1988-06,436.55,5321.083333333333
1988-07,436.8,5321.083333333333
1988-08,427.75,5321.083333333333
1988-09,396.7,5321.083333333333
1988-10,412.4,5321.083333333333
1988-11,422.6,5321.083333333333
1988-12,410.25,5321.083333333333
1989-01,394.0,5269.583333333333
1989-02,387.0,5269.583333333333
1989-03,383.2,5269.583333333333
1989-04,377.55,5269.583333333333
1989-05,361.8,5269.583333333333
1989-06,373.0,5269.583333333333
1989-07,368.3,5269.583333333333
1989-08,359.8,5269.583333333333
1989-09,366.5,5269.583333333333
1989-10,375.3,5269.583333333333
1989-11,408.15,5269.583333333333
1989-12,398.6,5269.583333333333
1990-01,415.05,64277.0
1990-02,407.7,64277.0
1990-03,368.5,64277.0
1990-04,367.75,64414.0
1990-05,363.05,64551.0
1990-06,352.2,64688.0
1990-07,372.3,64642.666666666664
1990-08,387.75,64597.333333333336
1990-09,408.4,64552.0
1990-10,379.5,64652.333333333336
1990-11,384.85,64752.666666666664
1990-12,386.2,64853.0
1991-01,366.0,65768.0
1991-02,362.7,65768.0
1991-03,355.65,65768.0
1991-04,357.75,66416.66666666667
1991-05,360.4,67065.33333333333
1991-06,368.35,67714.0
1991-07,362.85,68534.66666666667
1991-08,347.4,69355.33333333333
1991-09,354.9,70176.0
1991-10,357.45,70633.66666666667
1991-11,366.3,71091.33333333333
1991-12,353.15,71549.0
1992-01,354.1,73232.0
1992-02,353.1,73232.0
1992-03,341.7,73232.0
1992-04,336.35,73038.0
1992-05,337.5,72844.0
1992-06,343.4,72650.0
1992-07,357.85,72341.66666666667
1992-08,340.0,72033.33333333333
1992-09,349.0,71725.0
1992-10,339.25,71364.33333333333
1992-11,334.2,71003.66666666667
1992-12,332.9,70643.0
1993-01,330.45,68016.0
1993-02,327.6,68016.0
1993-03,337.8,68016.0
1993-04,354.3,67486.66666666667
1993-05,377.45,66957.33333333333
1993-06,378.45,66428.0
1993-07,401.75,65904.33333333333
1993-08,371.55,65380.666666666664
1993-09,355.5,64857.0
1993-10,369.6,64006.0
1993-11,370.9,63155.0
1993-12,391.75,62304.0
1994-01,377.9,59571.0
1994-02,381.55,59571.0
1994-03,389.2,59571.0
1994-04,376.45,58630.0
1994-05,387.6,57689.0
1994-06,388.25,56748.0
1994-07,384.0,55973.666666666664
1994-08,385.75,55199.333333333336
1994-09,394.85,54425.0
1994-10,383.85,53741.333333333336
1994-11,383.1,53057.666666666664
1994-12,383.25,52374.0
1995-01,374.9,51639.0
1995-02,376.4,51639.0
1995-03,392.0,51639.0
1995-04,389.75,51505.333333333336
1995-05,384.3,51371.666666666664
1995-06,387.05,51238.0
1995-07,383.35,51161.333333333336
1995-08,382.35,51084.666666666664
1995-09,384.0,51008.0
1995-10,382.65,51325.0
1995-11,387.8,51642.0
1995-12,387.0,51959.0
1996-01,405.55,52143.0
1996-02,400.65,52143.0
1996-03,396.35,52143.0
1996-04,391.3,52401.666666666664
1996-05,390.55,52660.333333333336
1996-06,382.0,52919.0
1996-07,385.3,53102.333333333336
1996-08,386.45,53285.666666666664
1996-09,379.0,53469.0
1996-10,379.5,53495.666666666664
1996-11,371.3,53522.333333333336
1996-12,369.25,53549.0
1997-01,345.5,53908.0
1997-02,358.6,53908.0
1997-03,348.15,53908.0
1997-04,340.15,53907.666666666664
1997-05,345.6,53907.333333333336
1997-06,334.55,53907.0
1997-07,326.35,53993.0
1997-08,325.35,54079.0
1997-09,332.1,54165.0
1997-10,311.4,54119.0
1997-11,296.8,54073.0
1997-12,290.2,54027.0
1998-01,304.85,52638.0
1998-02,297.4,52638.0
1998-03,301.0,52638.0
1998-04,310.7,51826.0
1998-05,293.6,51014.0
1998-06,296.3,50202.0
1998-07,288.85,50202.0
1998-08,273.4,50202.0
1998-09,293.85,50202.0
1998-10,292.3,48257.0
1998-11,294.7,46312.0
1998-12,287.8,44367.0
1999-01,285.4,41128.0
1999-02,287.05,41128.0
1999-03,279.45,41128.0
1999-04,286.6,40730.0
1999-05,268.6,40332.0
1999-06,261.0,39934.0
1999-07,255.6,39497.666666666664
1999-08,254.8,39061.333333333336
1999-09,299.0,38625.0
1999-10,299.1,38378.0
1999-11,291.35,38131.0
1999-12,290.25,37884.0
2000-01,283.3,38109.0
2000-02,293.65,38109.0
2000-03,276.75,38109.0
2000-04,275.05,37709.333333333336
2000-05,272.25,37309.666666666664
2000-06,288.15,36910.0
2000-07,276.75,36628.333333333336
2000-08,277.0,36346.666666666664
2000-09,273.65,36065.0
2000-10,264.5,35867.333333333336
2000-11,269.1,35669.666666666664
2000-12,274.45,35472.0
2001-01,264.5,35992.0
2001-02,266.7,35992.0
2001-03,257.7,35992.0
2001-04,263.15,36373.0
2001-05,267.5,36754.0
2001-06,270.6,37135.0
2001-07,265.9,37586.666666666664
2001-08,273.0,38038.333333333336
2001-09,293.1,38490.0
2001-10,278.75,39026.333333333336
2001-11,275.5,39562.666666666664
2001-12,276.5,40099.0
2002-01,282.3,39845.0
2002-02,296.85,39845.0
2002-03,301.4,39845.0
2002-04,308.2,39630.333333333336
2002-05,326.6,39415.666666666664
2002-06,318.5,39201.0
2002-07,304.65,39164.333333333336
2002-08,312.8,39127.666666666664
2002-09,323.7,39091.0
2002-10,316.9,38907.333333333336
2002-11,319.05,38723.666666666664
2002-12,347.2,38540.0
2003-01,367.5,37548.0
2003-02,347.45,37548.0
2003-03,334.85,37548.0
2003-04,336.75,37426.0
2003-05,361.4,37304.0
2003-06,346.0,37182.0
2003-07,354.75,36849.0
2003-08,375.6,36516.0
2003-09,388.0,36183.0
2003-10,386.25,35801.0
2003-11,398.35,35419.0
2003-12,416.25,35037.0
2004-01,399.75,36785.0
2004-02,395.85,36785.0
2004-03,423.7,36785.0
2004-04,388.5,36436.333333333336
2004-05,393.25,36087.666666666664
2004-06,395.8,35739.0
2004-07,391.4,35431.666666666664
2004-08,407.25,35124.333333333336
2004-09,415.65,34817.0
2004-10,425.55,34650.333333333336
2004-11,453.4,34483.666666666664
2004-12,435.6,34317.0
2005-01,422.15,31952.0
2005-02,435.45,31952.0
2005-03,427.5,31952.0
2005-04,435.7,32103.333333333332
2005-05,414.45,32254.666666666668
2005-06,437.1,32406.0
2005-07,429.0,33011.333333333336
2005-08,433.25,33616.666666666664
2005-09,473.25,34222.0
2005-10,470.75,35881.666666666664
2005-11,495.65,37541.333333333336
2005-12,513.0,39201.0
2006-01,568.75,35292.0
2006-02,556.0,35292.0
2006-03,582.0,35292.0
2006-04,644.0,34048.666666666664
2006-05,653.0,32805.333333333336
2006-06,613.5,31562.0
2006-07,632.5,30152.333333333332
2006-08,623.5,28742.666666666668
2006-09,599.25,27333.0
2006-10,603.75,24787.0
2006-11,646.7,22241.0
2006-12,632.0,19695.0
2007-01,650.5,21960.0
2007-02,664.2,21960.0
2007-03,661.75,21960.0
2007-04,677.0,22603.0
2007-05,659.1,23246.0
2007-06,650.5,23889.0
2007-07,665.5,24567.666666666668
2007-08,672.0,25246.333333333332
2007-09,743.0,25925.0
2007-10,789.5,26724.0
2007-11,783.5,27523.0
2007-12,833.75,28322.0
2008-01,923.25,30741.0
2008-02,971.5,30741.0
2008-03,933.5,30741.0
2008-04,871.0,31768.0
2008-05,885.75,32795.0
2008-06,930.25,33822.0
2008-07,918.0,35431.666666666664
2008-08,833.0,37041.333333333336
2008-09,884.5,38651.0
2008-10,730.75,40282.666666666664
2008-11,814.5,41914.333333333336
2008-12,869.75,43546.0
2009-01,919.5,49077.0
2009-02,952.0,49077.0
2009-03,916.5,49077.0
2009-04,883.25,51058.333333333336
2009-05,975.5,53039.666666666664
2009-06,934.5,55021.0
2009-07,939.0,56254.333333333336
2009-08,955.5,57487.666666666664
2009-09,995.75,58721.0
2009-10,1040.0,59426.333333333336
2009-11,1175.75,60131.666666666664
2009-12,1087.5,60837.0
2010-01,1078.5,61148.0
2010-02,1108.25,61148.0
2010-03,1115.5,61148.0
2010-04,1179.25,60634.666666666664
2010-05,1207.5,60121.333333333336
2010-06,1244.0,59608.0
2010-07,1169.0,59179.333333333336
2010-08,1246.0,58750.666666666664
2010-09,1307.0,58322.0
2010-10,1346.75,57642.0
2010-11,1383.5,56962.0
2010-12,1405.5,56282.0
2011-01,1327.0,54212.0
2011-02,1411.0,54212.0
2011-03,1439.0,54212.0
2011-04,1535.5,53519.333333333336
2011-05,1536.5,52826.666666666664
2011-06,1505.5,52134.0
2011-07,1628.5,51387.666666666664
2011-08,1813.5,50641.333333333336
2011-09,1620.0,49895.0
2011-10,1722.0,49198.666666666664
2011-11,1746.0,48502.333333333336
2011-12,1531.0,47806.0
2012-01,1744.0,46393.0
2012-02,1770.0,46393.0
2012-03,1662.5,46393.0
2012-04,1651.25,45740.333333333336
2012-05,1558.0,45087.666666666664
2012-06,1598.5,44435.0
2012-07,1622.0,43626.0
2012-08,1648.5,42817.0
2012-09,1776.0,42008.0
2012-10,1719.0,41363.666666666664
2012-11,1726.0,40719.333333333336
2012-12,1657.5,40075.0
2013-01,1664.75,37552.0
2013-02,1588.5,37552.0
2013-03,1598.25,37552.0
2013-04,1469.0,37055.0
2013-05,1394.5,36558.0
2013-06,1192.0,36061.0
2013-07,1314.5,35671.333333333336
2013-08,1394.75,35281.666666666664
2013-09,1326.5,34892.0
2013-10,1324.0,34332.0
2013-11,1253.0,33772.0
2013-12,1204.5,33212.0
2014-01,1251.0,31671.0
2014-02,1326.5,31671.0
2014-03,1291.75,31671.0
2014-04,1288.5,31151.666666666668
2014-05,1250.5,30632.333333333332
2014-06,1315.0,30113.0
2014-07,1285.25,29515.0
2014-08,1285.75,28917.0
2014-09,1216.5,28319.0
2014-10,1164.25,27873.666666666668
2014-11,1182.75,27428.333333333332
2014-12,1206.0,26983.0
2015-01,1260.25,26130.0
2015-02,1214.0,26130.0
2015-03,1187.0,26130.0
2015-04,1180.25,25768.666666666668
2015-05,1191.4,25407.333333333332
2015-06,1171.0,25046.0
2015-07,1098.4,25025.666666666668
2015-08,1135.0,25005.333333333332
2015-09,1114.0,24985.0
2015-10,1142.35,24901.666666666668
2015-11,1061.9,24818.333333333332
2015-12,1060.0,24735.0
2016-01,1111.8,24797.0
2016-02,1234.9,24797.0
2016-03,1237.0,24797.0
2016-04,1285.65,24940.333333333332
2016-05,1212.1,25083.666666666668
2016-06,1320.75,25227.0
2016-07,1342.0,24970.333333333332
2016-08,1309.25,24713.666666666668
2016-09,1322.5,24457.0
2016-10,1272.0,24342.666666666668
2016-11,1178.1,24228.333333333332
2016-12,1145.9,24114.0
2017-01,1212.8,23591.0
2017-02,1255.6,23591.0
2017-03,1244.85,23591.0
2017-04,1266.45,23541.666666666668
2017-05,1266.2,23492.333333333332
2017-06,1242.25,23443.0
2017-07,1267.55,23331.666666666668
2017-08,1311.75,23220.333333333332
2017-09,1283.1,23109.0
2017-10,1270.15,23125.0
2017-11,1280.2,23141.0
2017-12,1291.0,23157.0
2018-01,1345.05,23106.0
2018-02,1317.85,23106.0
2018-03,1323.85,23106.0
2018-04,1313.2,22819.0
2018-05,1305.35,22532.0
2018-06,1250.45,22245.0
2018-07,1220.95,22197.666666666668
2018-08,1202.45,22150.333333333332
2018-09,1187.25,22103.0
2018-10,1214.95,22146.0
2018-11,1217.55,22189.0
2018-12,1279.0,22232.0
2019-01,1323.25,22157.0
2019-02,1319.15,22157.0
2019-03,1295.4,22157.0
2019-04,1282.3,22265.666666666668
2019-05,1295.55,22374.333333333332
2019-06,1409.0,22483.0
2019-07,1427.55,22625.333333333332
2019-08,1528.4,22767.666666666668
2019-09,1485.3,22910.0
2019-10,1510.95,22866.666666666668
2019-11,1460.15,22823.333333333332
2019-12,1514.75,22780.0
2020-01,1584.2,23114.0
2020-02,1609.85,23114.0
2020-03,1608.95,23114.0
2020-04,1702.75,22903.333333333332
2020-05,1728.7,22692.666666666668
2020-06,1768.1,22482.0
2020-07,1964.9,22451.666666666668
2020-08,1957.35,22421.333333333332
2020-09,1886.9,22391.0
2020-10,1881.85,22145.666666666668
2020-11,1762.55,21900.333333333332
2020-12,1887.6,21655.0
2021-01,1863.8,19911.0
2021-02,1742.85,19911.0
2021-03,1691.05,19911.0
2021-04,1767.65,19444.333333333332
2021-05,1899.95,18977.666666666668
2021-06,1763.15,18511.0
2021-07,1825.75,17720.666666666668
2021-08,1814.85,16930.333333333332
2021-09,1742.8,16140.0
2021-10,1769.15,15542.333333333334
2021-11,1804.4,14944.666666666666
2021-12,1805.85,14347.0
2022-01,1795.25,13160.0
2022-02,1909.85,13160.0
2022-03,1942.15,13160.0
2022-04,1911.3,13022.666666666666
2022-05,1838.7,12885.333333333334
2022-06,1817.0,12748.0
2022-07,1753.4,12873.666666666666
2022-08,1715.9,12999.333333333334
2022-09,1671.75,13125.0
2022-10,1639.0,13243.666666666666
2022-11,1753.5,13362.333333333334
2022-12,1813.75,13481.0
2023-01,1923.9,14467.0
2023-02,1824.6,14467.0
2023-03,1979.7,14467.0
2023-04,1982.55,14886.0
2023-05,1964.4,15305.0
2023-06,1912.25,15724.0
2023-07,1970.65,16166.333333333334
2023-08,1942.3,16608.666666666668
2023-09,1870.5,17051.0
2023-10,1996.9,17676.0
2023-11,2035.45,18301.0
2023-12,2078.4,18926.0
2024-01,2053.25,1693.0
2024-02,2048.05,1693.0
2024-03,2214.35,1693.0
2024-04,2307.0,1693.0
2024-05,2348.25,1693.0
2024-06,2330.9,1693.0
2024-07,2426.3,1693.0
2024-08,2513.35,1693.0
